description	enabled	ladder	min diff	version	op	param	value	*stat	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	*mod 1 skillname	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	*mod 2 skillname	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	*mod 3 skillname	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	*mod 4 skillname	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	*mod 5 skillname	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	*b mod 1 skillname	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	*b mod 2 skillname	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	*b mod 3 skillname	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	*b mod 4 skillname	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	*b mod 5 skillname	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	*c mod 1 skillname	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	*c mod 2 skillname	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	*c mod 3 skillname	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	*c mod 4 skillname	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	*c mod 5 skillname	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Blood Splinter	"gem5,qty=2"						Blood Splinter	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Dreamflange	"gem5,qty=2"						Dreamflange	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Starshine	"gem5,qty=2"						Starshine	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Demonfever	"gem5,qty=2"						Demonfever	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Schaefer's Hammer	"gem5,qty=2"						Schaefer's Hammer	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Vulcan's Piledriver	"gem5,qty=2"						Vulcan's Piledriver	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Justicar Militiari	"gem5,qty=2"						Justicar Militiari	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Defender of the Highlands	"gem5,qty=2"						Defender of the Highlands	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Bill of the Crane Shamans	"gem5,qty=2"						Bill of the Crane Shamans	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Reaver of Darkness	"gem5,qty=2"						Reaver of Darkness	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Partizan of Light	"gem5,qty=2"						Partizan of Light	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Will of Hatred	"gem5,qty=2"						The Will of Hatred	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Instrument of Destruction	"gem5,qty=2"						Instrument of Destruction	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Righteous Avenger	"gem5,qty=2"						Righteous Avenger	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Demon Slayer	"gem5,qty=2"						Demon Slayer	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Liberation	"gem5,qty=2"						Liberation	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Redemption	"gem5,qty=2"						Redemption	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Zerae's Point	"gem5,qty=2"						Zerae's Point	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Gift of the Sea	"gem5,qty=2"						Gift of the Sea	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Kaihlanna's Pride	"gem5,qty=2"						Kaihlanna's Pride	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Tears of Pain	"gem5,qty=2"						Tears of Pain	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Illusionary Pain	"gem5,qty=2"						Illusionary Pain	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Staff of the Horadrim	"gem5,qty=2"						Staff of the Horadrim	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Staff of Aesculapius	"gem5,qty=2"						The Staff of Aesculapius	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Doomspire	"gem5,qty=2"						Doomspire	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Staff of Erana	"gem5,qty=2"						The Staff of Erana	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Tal Rasha's Walking Stick	"gem5,qty=2"						Tal Rasha's Walking Stick	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Magma Spike	"gem5,qty=2"						Magma Spike	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Scourge of the Twin Seas	"gem5,qty=2"						Scourge of the Twin Seas	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Soulforge	"gem5,qty=2"						Soulforge	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Desert Wind	"gem5,qty=2"						The Desert Wind	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Frost Shard	"gem5,qty=2"						Frost Shard	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Zakarum Blade	"gem5,qty=2"						Zakarum Blade	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Celestial Avenger	"gem5,qty=2"						Celestial Avenger	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Mithril Sword	"gem5,qty=2"						Mithril Sword	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Vampire	"gem5,qty=2"						The Vampire	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Black Death	"gem5,qty=2"						Black Death	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Stone Brenner	"gem5,qty=2"						Stone Brenner	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Jeldaria's Focus	"gem5,qty=2"						Jeldaria's Focus	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Inarius' Fall	"gem5,qty=2"						Inarius' Fall	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Terminus Est	"gem5,qty=2"						Terminus Est	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Morgue	"gem5,qty=2"						Morgue	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Battle Hymn	"gem5,qty=2"						Battle Hymn	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Hurricane	"gem5,qty=2"						The Hurricane	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Minotaur's Sidearm	"gem5,qty=2"						Minotaur's Sidearm	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Cinderspark	"gem5,qty=2"						Cinderspark	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Rusalka's Femur	"gem5,qty=2"						Rusalka's Femur	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Wand of Rathma	"gem5,qty=2"						Wand of Rathma	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Skull of Horazon	"gem5,qty=2"						Skull of Horazon	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Oxhorn	"gem5,qty=2"						Oxhorn	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Lycander's Aim	"gem5,qty=2"						Lycander's Aim	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Robin Hood's Precision	"gem5,qty=2"						Robin Hood's Precision	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Titan's Revenge	"gem5,qty=2"						Titan's Revenge	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Dragoon Shaft	"gem5,qty=2"						The Dragoon Shaft	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Lycander's Flank	"gem5,qty=2"						Lycander's Flank	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Ensnare	"gem5,qty=2"						Ensnare	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Quill Giant's Spine	"gem5,qty=2"						Quill Giant's Spine	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Sparkmonger	"gem5,qty=2"						Sparkmonger	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Doom's Apprentice	"gem5,qty=2"						Doom's Apprentice	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Scratch of the Elements	"gem5,qty=2"						Scratch of the Elements	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Fangs of the King Cobra	"gem5,qty=2"						Fangs of the King Cobra	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Warpfist	"gem5,qty=2"						Warpfist	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Solistus' Masamune Edge	"gem5,qty=2"						Solistus' Masamune Edge	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	"9nn,uni"	"gem5,qty=2"						Solistus' Masamune Edge	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Malah's Aid	"gem5,qty=2"						Malah's Aid	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Rakanishu's Staff	"gem5,qty=2"						Rakanishu's Staff	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Jr Eyes	"gem5,qty=2"						Jr Eyes	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Blade of the Reaper	"gem5,qty=2"						Blade of the Reaper	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Death's Scythe	"gem5,qty=2"						Death's Scythe	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Excalibur	"gem5,qty=2"						Excalibur	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Azimuth's Regard	"gem5,qty=2"						Azimuth's Regard	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Apocalypse Stone	"gem5,qty=2"						Apocalypse Stone	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Magica Strife	"gem5,qty=2"						Magica Strife	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Auraura's Jewel	"gem5,qty=2"						Auraura's Jewel	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Oculus	"gem5,qty=2"						The Oculus	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	The Secret of Mana	"gem5,qty=2"						The Secret of Mana	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Tattooed Palm	"gem5,qty=2"						Tattooed Palm	99																																																																																																					0
Unique Reroll ES Weapon Exc	1			1	18	202	0			3	Black Gypsum	"gem5,qty=2"						Black Gypsum	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rohmshun	"gem5,qty=3"						Rohmshun	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Alea Jacta Est	"gem5,qty=3"						Alea Jacta Est	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Thorgrim's Saviour	"gem5,qty=3"						Thorgrim's Saviour	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Gold Digger	"gem5,qty=3"						Gold Digger	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Iceshard	"gem5,qty=3"						Iceshard	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Focus of Unlife	"gem5,qty=3"						Focus of Unlife	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Wicked Axe	"gem5,qty=3"						Wicked Axe	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Meat Cleaver	"gem5,qty=3"						Meat Cleaver	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Wings of the Fallen Phoenix	"gem5,qty=3"						Wings of the Fallen Phoenix	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Barbaric Devastator	"gem5,qty=3"						Barbaric Devastator	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Karaniis' Bow of Incandesence	"gem5,qty=3"						Karaniis' Bow of Incandesence	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Gnat Sting	"gem5,qty=3"						Gnat Sting	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Bloodraven's Arch	"gem5,qty=3"						Bloodraven's Arch	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Moonbeam	"gem5,qty=3"						Moonbeam	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Undead's Blight	"gem5,qty=3"						Undead's Blight	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Wild Airs of the Elements	"gem5,qty=3"						Wild Airs of the Elements	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Guardian	"gem5,qty=3"						The Guardian	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Enigma	"gem5,qty=3"						Enigma	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Deadly Hunter	"gem5,qty=3"						Deadly Hunter	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Scope of the Hawk	"gem5,qty=3"						Scope of the Hawk	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Chaos Launcher	"gem5,qty=3"						Chaos Launcher	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Deadly Precision	"gem5,qty=3"						Deadly Precision	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Horn of Balor	"gem5,qty=3"						The Horn of Balor	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rathma's Blade	"gem5,qty=3"						Rathma's Blade	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Famine	"gem5,qty=3"						Famine	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Mordenkainen's Dagger	"gem5,qty=3"						Mordenkainen's Dagger	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Opilus Apprentice	"gem5,qty=3"						The Opilus Apprentice	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Olympian's Javelin	"gem5,qty=3"						Olympian's Javelin	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Johan's Picket	"gem5,qty=3"						Johan's Picket	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rainbow Rocket	"gem5,qty=3"						Rainbow Rocket	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Moby's Demise	"gem5,qty=3"						Moby's Demise	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Caveman's Fury	"gem5,qty=3"						Caveman's Fury	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Darth Maul	"gem5,qty=3"						Darth Maul	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Caesar's Revenge	"gem5,qty=3"						Caesar's Revenge	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Butcher's Tenderizer	"gem5,qty=3"						Butcher's Tenderizer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Thunder Star	"gem5,qty=3"						Thunder Star	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Miller's Hammer	"gem5,qty=3"						Miller's Hammer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Hammer of Bogardan	"gem5,qty=3"						Hammer of Bogardan	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Thor's Hammer	"gem5,qty=3"						Thor's Hammer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Call of the Guardian	"gem5,qty=3"						Call of the Guardian	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Nine Lives Stealer	"gem5,qty=3"						Nine Lives Stealer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Soul Reaver	"gem5,qty=3"						Soul Reaver	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Sultan's Conqueror	"gem5,qty=3"						Sultan's Conqueror	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Almraizer	"gem5,qty=3"						Almraizer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Eternal Reign	"gem5,qty=3"						Eternal Reign	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Agent of the Light	"gem5,qty=3"						Agent of the Light	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Judgement	"gem5,qty=3"						Judgement	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Instrument of Purification	"gem5,qty=3"						Instrument of Purification	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Scepter of the Sorcerer-Kings	"gem5,qty=3"						Scepter of the Sorcerer-Kings	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Backbiter	"gem5,qty=3"						Backbiter	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Defense of Atlantis	"gem5,qty=3"						Defense of Atlantis	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Dragon's Breath	"gem5,qty=3"						Dragon's Breath	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Storm Seeker	"gem5,qty=3"						Storm Seeker	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rotting Splinter	"gem5,qty=3"						Rotting Splinter	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Burning Sands	"gem5,qty=3"						Burning Sands	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Magelord's Assistant	"gem5,qty=3"						Magelord's Assistant	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Protector	"gem5,qty=3"						The Protector	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Dragon Staff	"gem5,qty=3"						Dragon Staff	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Vizjeris' Knowledge	"gem5,qty=3"						Vizjeris' Knowledge	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Slave Warrior's Edge	"gem5,qty=3"						Slave Warrior's Edge	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Twinkle	"gem5,qty=3"						Twinkle	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Icing Death	"gem5,qty=3"						Icing Death	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Executioner's Blade	"gem5,qty=3"						The Executioner's Blade	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Diamondedge	"gem5,qty=3"						Diamondedge	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Glacial Form	"gem5,qty=3"						Glacial Form	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Soul Singer	"gem5,qty=3"						Soul Singer	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rome's Victory	"gem5,qty=3"						Rome's Victory	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Blade of Righteousness	"gem5,qty=3"						Blade of Righteousness	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Reins of Power	"gem5,qty=3"						Reins of Power	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Mitsurugi's Aide	"gem5,qty=3"						Mitsurugi's Aide	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Blackened Blade of Arkanon	"gem5,qty=3"						Blackened Blade of Arkanon	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Fires of Sunlight	"gem5,qty=3"						The Fires of Sunlight	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Grandfather	"gem5,qty=3"						The Grandfather	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Assassin's Stiletto	"gem5,qty=3"						The Assassin's Stiletto	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Dark Knight's Dread	"gem5,qty=3"						Dark Knight's Dread	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Unicorn's Horn	"gem5,qty=3"						Unicorn's Horn	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Hephasto's Last Project	"gem5,qty=3"						Hephasto's Last Project	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Arm of the Skeleton	"gem5,qty=3"						Arm of the Skeleton	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Secret of the Ooze	"gem5,qty=3"						Secret of the Ooze	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Essence of Trang Oul	"gem5,qty=3"						Essence of Trang Oul	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Song of the Damned	"gem5,qty=3"						Song of the Damned	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Goldfinger	"gem5,qty=3"						Goldfinger	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Artemis' Wrath	"gem5,qty=3"						Artemis' Wrath	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Maija's Menace	"gem5,qty=3"						Maija's Menace	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Zeus' Bolts	"gem5,qty=3"						Zeus' Bolts	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Lightfoot	"gem5,qty=3"						Lightfoot	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Raiden's Staff	"gem5,qty=3"						Raiden's Staff	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Excalibria	"gem5,qty=3"						Excalibria	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Polar Edge	"gem5,qty=3"						Polar Edge	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Freedom of Imprisonment	"gem5,qty=3"						The Freedom of Imprisonment	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Raja's Majesty	"gem5,qty=3"						Raja's Majesty	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Viz-Jaq'taar's Invention	"gem5,qty=3"						Viz-Jaq'taar's Invention	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Slight of Hand	"gem5,qty=3"						Slight of Hand	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Muramasa Sword	"gem5,qty=3"						Muramasa Sword	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Rising Sun	"gem5,qty=3"						Rising Sun	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Spirit of the Forest	"gem5,qty=3"						Spirit of the Forest	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	The Last Rites	"gem5,qty=3"						The Last Rites	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Bone Reaver	"gem5,qty=3"						Bone Reaver	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Blade of Corruption	"gem5,qty=3"						Blade of Corruption	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Holy Avenger	"gem5,qty=3"						Holy Avenger	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Orb of the Horadrim	"gem5,qty=3"						Orb of the Horadrim	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Wrath of Asmodeus	"gem5,qty=3"						Wrath of Asmodeus	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Heart of the Succubi	"gem5,qty=3"						Heart of the Succubi	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Baal's Eye	"gem5,qty=3"						Baal's Eye	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Spacial Distortion	"gem5,qty=3"						Spacial Distortion	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Blade of the Fallen Angel	"gem5,qty=3"						Blade of the Fallen Angel	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Thundergod's Anger	"gem5,qty=3"						Thundergod's Anger	99																																																																																																					0
Unique Reroll ES Weapon Eli	1			1	18	202	0			4	Protection Circuit	"gem5,qty=3"						Protection Circuit	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	Cap of the Blessed	"gem5,qty=2"						Cap of the Blessed	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	Knowledge	"gem5,qty=2"						Knowledge	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	The Eagle Helm	"gem5,qty=2"						The Eagle Helm	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	Spirit of Life	"gem5,qty=2"						Spirit of Life	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	Veil of Steel	"gem5,qty=2"						Veil of Steel	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	Burial Mask of Marduuk	"gem5,qty=2"						Burial Mask of Marduuk	99																																																																																																					0
Unique Reroll ES Armor Exc	1			1	18	202	0			3	The Borgov's Skull	"gem5,qty=2"						The Borgov's Skull	99																																																																																																					0
