index	*ID	version	enabled	*Skip Generation	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Elzix's Treasure	521	0	1				1	1	69	58	yml	Desert Shield		12	40000	oran	oran		invelzix				tinkerflag2		25	35	mag%		100	100	oskill	Find Potion	1	10	oskill	Find Item	1	10	block2		20	40	gold%		100	100	mag%/lvl	8			gold%/lvl	8			dodge		5	5	cheap		5	5										0
Cyclop's Protector	522	0	1				1	1	71	62	yrg	Giant Buckler		13	45000	lblu			invcyclop				tinkerflag2		25	35	att%		100	200	reduce-ac		20	40	ac		200	200	ac%		200	300	gethit-skill	Bash Proc	17	60	strpercent		20	30	ease		100	100	str		50	50	heal-kill		25	50										0
The Seduction of Pain	523	0	1				1	1	79	66	ypk	Thorned Shield		13	45000	blac			invspku				tinkerflag2		25	35	ac%		80	120	block2		30	30	oskill	Pierce	5	10	lifesteal		10	10	manasteal		10	10	thorns/lvl	160			dmg/lvl	8			oskill	Throwing Mastery	2	5	swing2		30	30	aura	Thorns	20	30						0
Dragon's Breach	524	0	1				1	1	73	70	yit	Military Shield		13	45000	cred	cred		invkitu				tinkerflag2		25	35	pierce-fire		10	20	skill	Crucify	10	20	hit-skill	Fire Brand	5	20	hit-skill	Fire Enhanced Axe	5	20	life-on-striking		1	2	regen		800	1000	dmg-fire		800	1000	swing2		20	40	balance2		20	40										0
Icon of Sin	525	0	1				1	1	79	68	ysh	Demon Shield		13	45000	blac			invbshu				tinkerflag2		25	35	oskill	Icon of Sin Passive	5	10	mythicaldescnoflag	1055	1	1	aura	Meditation	10	20	enepercent		-30	-10	allskills		1	2	cast2		20	40	mana%		20	30	res-cold		40	50	res-pois		40	50	nofreeze		1	1	res-pois-len		50	75		0
The Barricade	526	0	1				1	1	81	72	yow	Royal Guard		13	45000	dgry	dgry		invtowu				tinkerflag2		25	35	gethit-skill	Bone Prison	25	60	kill-skill	Teeth	50	60	res-all		40	50	res-all-max		1	3	extra-mag2		10	30	red-dmg%		10	15	balance2		50	50	block2		50	50														0
Guardian Angel	527	0	1				1	1	84	75	yft	Ceremonial Shield		13	45000	whit	whit						tinkerflag2		25	35	gethit-skill	Guardian Angel	10	1	mythicaldescnoflag	1056	1	1	res-all-max		3	5	ac%		300	500	balance2		50	50	block2		50	50	block		5	10	hp		200	300	regen		1000	1000										0
Stonewall	528	0	1				1	1	80	73	yts	Body Shield		13	45000	dgry	dgry		invgtsu				tinkerflag2		25	35	ac		400	500	block		5	5	block2		100	100	indestruct		1	1	ease		200	300	strpercent		30	50	aura	Defiance	10	20	str		50	100	gethit-skill	Bone Armor	17	45	gethit-skill	Cyclone Armor	17	45	balance2		100	100		0
Leather of Luck	529	0	1				1	1	7	5	lgl	Gloves		6	10000	cblu	cblu						tinkerflag2		25	35	att%		50	150	mag%		50	150	gold%		50	150																																		0
Hand of Grog	530	0	1				1	1	12	9	vgl	Heavy Gloves		7	15000	oran	oran						tinkerflag2		25	35	swing2		30	30	dmg-min		5	15	heal-kill		5	10	ac		50	50	str		20	20																										0
Gloves of Firebrand	531	0	1				1	1	20	15	mgl	Bracers		8	20000	lred	lred						tinkerflag2		25	35	res-fire-max		1	3	res-fire		45	60	swing2		20	20	dmg-fire/lvl	16			hit-skill	Fire Brand	10	1	dmg-fire		25	50																						0
Darkflight Hand	532	0	1				1	1	31	23	tgl	Light Gauntlets		9	25000	lgry	lgry						tinkerflag2		25	35	hit-skill	Cold Enhanced Arrow	5	15	att%		40	50	half-freeze		1	1	skilltab	0	1	2	swing2		20	20	dmg-cold/lvl	20			freeze		3	3																		0
Heartrand's Gaunts	533	0	1				1	1	39	29	hgl	Gauntlets		9	25000	dred	dred						tinkerflag2		25	35	ac		40	40	dmg-max		15	30	red-dmg		2	4	res-pois		50	50	hp		50	100	deadly		20	40	dmg-min		10	20																		0
Fireheart's Hand	534	0	1				1	1	40	29	irg	Iron Guards		10	30000	cred	cred						tinkerflag2		25	35	fireskill		1	1	kill-skill	Fire Surge	100	2	abs-fire%		1	5	pierce-fire		10	15	cast2		30	30	mana%		25	25																						0
Hands of the Assassin	535	0	1				1	1	37	29	xlg	Demonhide Gloves		9	25000	blac	blac						tinkerflag2		25	35	stamdrain		50	100	dmg-pois	256	2500	2500	dmg-pois/lvl	80			crush		50	100	move2		30	30	swing2		30	30																						0
Gloves of Nor Tiraj	536	0	1				1	1	39	32	xvg	Sharkskin Gloves		9	25000	lgry	lgry						tinkerflag2		25	35	res-all		30	30	cast3		20	20	extra-mag2		15	30	extra-summ		10	20	mana-kill		5	10	ac		50	100	mana		25	50	regen-mana		25	50														0
Shiva's Touch	537	0	1				1	1	44	36	xmg	Heavy Bracers		10	30000	dblu	dblu						tinkerflag2		25	35	res-cold		25	75	res-cold-max		1	3	att%		50	100	dmg-cold/lvl	16			hit-skill	Glacial Spike	5	40	dmg-cold	250	250	350	swing1		20	20	pierce-cold		10	15														0
Runefusion	538	0	1				1	1	50	42	xtg	Battle Guantlets		11	35000	dpur	dpur						tinkerflag2		25	35	allskills		1	1	skilltab	3	1	1	skilltab	8	1	1	skilltab	17	1	1	skilltab	18	1	1	res-all		15	30	regen-mana		25	50	hp		50	100	trap-limit		1	1										0
Suffocation of Indifference	539	0	1				1	1	55	47	xhg	War Gauntlets		11	35000	cred	cred						tinkerflag2		25	35	lifesteal		5	10	manasteal		5	10	balance2		20	20	slow		15	20	dmg/lvl	8			ac%		80	200	str/lvl	4			dex/lvl	4																0
Lockheart's Grip	540	0	1				1	1	56	55	xig	Imperial Guards		11	35000	dgry	dgry						tinkerflag2		25	35	ac		25	75	swing2		30	30	reduce-ac		25	50	dmg-norm		20	30	ac%		100	200	red-dmg%		5	10	dexpercent		10	20																		0
Gloves of the Dark Mage	541	0	1				1	1	76	58	ylg	Spellcaster Gloves		13	45000	blac	blac						tinkerflag2		25	35	allskills		1	1	swing2		30	30	enepercent		15	30	mana%		15	30	hit-skill	Lower Resist	3	50	sock		2	2																						0
The Hands of Atlas	542	0	1				1	1	77	60	yvg	Viper Hands		13	45000	dgry	dgry						tinkerflag2		25	35	str		100	200	crush		25	50	ac%		60	110	res-all		15	25	dmg-max		40	60	hit-skill	Weaken	2	51	deadly		25	50	ease		300	300														0
Death's Grip	543	0	1				1	1	83	62	ymg	Sepulcher Gloves		13	45000	blac	blac						tinkerflag2		25	35	freeze		1	1	hit-skill	Cold Brand	10	1	pierce-cold		10	20	ac		200	200	kill-skill	Spike Nova Cold	5	60	swing2		40	40	slow		10	20	att		300	300	att%		100	150	ac		20	100						0
Iron Fist	544	0	1				1	1	74	65	ytg	Gladiator Bracers		13	45000	dgry	dgry						tinkerflag2		25	35	hit-skill	Amplify Damage	3	45	ac%		150	200	ac		80	120	red-dmg%		10	15	kill-skill	Bash Proc	8	30	heal-kill		40	50	allskills		1	1	vit		40	80														0
Herculean Grip	545	0	1				1	1	79	68	yhg	Titan Bracers		13	45000	lgry	lgry						tinkerflag2		25	35	hit-skill	Static Field	5	1	crush		40	50	deadly		40	50	ac%		300	400	move2		40	40	swing2		40	40	balance2		40	40	heal-kill		25	50														0
Greiz's Legion	546	0	1				1	1	80	73	yig	Royal Guards		13	45000	oran	oran						tinkerflag2		25	35	passive-summ-limit		3	6	extra-summ-total		-75	-75	aura	Vigor	10	15	passive-summ-life		10	20	allskills		1	1	ac		200	200	skill	Feral Mastery	10	20	skill	Skeleton Mastery	10	20	skill	Golem Mastery	10	20										0
Boots of Firewalk	547	0	1				1	1	7	5	lbt	Leather Boots		6	10000	cred	cred						tinkerflag2		25	35	move2		20	30	oskill	Blaze	3	3	regen-mana		30	50	regen		50	100	hp		30	50	ac		10	30	res-fire		50	50																		0
Icelander's Wear	548	0	1				1	1	12	9	vbt	Heavy Boots		7	15000	dblu	dblu						tinkerflag2		25	35	res-cold		30	60	nofreeze		1	1	hp		10	30	ac/lvl	8			res-cold/lvl	8			move2		20	30	dmg-cold	50	25	50																		0
Orcish Walkgarb	549	0	1				1	1	20	15	mbt	Chain Boots		8	20000	lgrn	lgrn						tinkerflag2		25	35	deadly		10	30	move2		30	30	dex		10	20	str		10	20	ac-hth		25	75	str/lvl	2			res-ltng		30	30																		0
Vindalay's Sole	550	0	1				1	1	30	22	tbt	Light Plate Boots		9	25000	dgry	dgry						tinkerflag2		25	35	stamdrain		30	60	cast2		20	30	move2		40	40	res-pois		20	30	gold%		30	60	oskill	Dodge	1	1	oskill	Avoid	1	1																		0
Lightmaster's Walk	551	0	1				1	1	39	29	hbt	Greaves		9	25000	dgrn	dgrn						tinkerflag2		25	35	ac		75	75	move2		50	50	regen-stam		100	100	res-all		30	30	all-stats		20	30	ac/lvl	8																								0
Zhoul's Slippers	552	0	1				1	1	31	23	dbt	Dimensional Boots		9	25000	lgry	lgry						tinkerflag2		25	35	red-dmg		10	15	red-mag		10	15	move2		30	30	enr		5	15	extra-summ		10	15	nec		1	1	dru		1	1	oskill	Clay Golem	3	3	skill	Clay Golem	7	12	pierce-fire		10	15						0
Demonspeed	553	0	1				1	1	37	29	xlb	Demonhide Boots		9	25000	lred	lred						tinkerflag2		25	35	red-mag		10	20	move2		80	80	swing2		80	80	pierce-fire		10	15	red-dmg%		-20	-10	cast2		80	80	ac		75	150																		0
Flickerheel	554	0	1				1	1	40	32	xvb	Sharkskin Boots		10	30000	cred	cred						tinkerflag2		25	35	dmg-ltng		1	500	dex		30	30	res-ltng		30	70	move2		30	30	dmg-ltng/lvl	40			kill-skill	Chain Lightning	20	30	pierce-ltng		10	15	lightningskill		1	1	oskill	Lightning Warp	5	10										0
Chillcobble	555	0	1				1	1	44	36	xmb	Mesh Boots		10	30000	cblu	cblu						tinkerflag2		25	35	res-cold		30	70	res-cold-max		1	3	nofreeze		1	1	mana		40	40	dmg-cold/lvl	32			gethit-skill	Frost Nova	50	40	dmg-cold	200	200	250	pierce-cold		10	15	move2		30	30	coldskill		1	1	oskill	Ice Blink	5	10		0
Boots of the Valiant	556	0	1				1	1	50	42	xtb	Battle Boots		11	35000	whit	whit						tinkerflag2		25	35	ac%		50	150	stamdrain		50	50	deadly/lvl	4			crush/lvl	4			move2		30	30	ac-hth		150	250	swing2		30	30	strpercent		10	30														0
Haste of Athulua	557	0	1				1	1	55	47	xhb	War Boots		11	35000	dgld	dgld						tinkerflag2		25	35	oskill	Increased Speed	5	10	oskill	Quickness	5	10	dexpercent		10	30	dex		10	30	att		100	200	move2		50	50	skill	Valkyrie Mastery	10	20																		0
Wren's Reinforced Tech Boots	558	0	1				1	1	61	53	xbt	Mystile Boots		12	40000	dgry	dgry						tinkerflag2		25	35	heal-kill		25	50	mana-kill		25	50	move2		50	50	pierce-fire		5	10	pierce-cold		5	10	pierce-ltng		5	10	res-all		10	25	hit-skill	Fire Enhanced Arrow	3	20	hit-skill	Cold Enhanced Arrow	3	20	hit-skill	Lightning Enhanced Arrow	3	20						0
Heart of the Moon	559	0	1				1	1	69	67	ylb	Rogue Boots		12	40000	lgry	lgry						tinkerflag2		25	35	extra-mag2		15	25	enr		30	50	move2		40	40	enepercent		20	40	red-dmg%		10	10	mana		50	100																						0
Boots of the Serpent	560	0	1				1	1	70	71	yvb	Viper Boots		13	45000	dgrn	dgrn						tinkerflag2		25	35	hit-skill	Poison Brand	5	1	kill-skill	Poison Surge	5	60	pierce-pois		10	20	move2		30	50	balance2		50	50	deadly		25	100	ac%		150	250	res-pois-len		50	75	res-cold		50	75										0
Boots of Aether	561	0	1				1	1	71	62	ymb	Sepulcher Boots		13	45000	blac	blac						tinkerflag2		25	35	red-dmg%		-20	-20	indestruct		1	1	dex/lvl	16			move2		60	60	dexpercent		20	40	dex		50	100	oskill	Dodge	1	3	pierce		50	100	att%		100	100										0
Hermes' Gift	562	0	1				1	1	73	70	ytb	Plated Boots		13	45000	dgry	dgry						tinkerflag2		25	35	aura	Vigor	5	15	stam		150	200	stam/lvl	80			move2		50	50	allskills		1	1	res-fire		25	50	res-cold		25	50	res-ltng		25	50	res-pois		25	50										0
The Heel of Blood	563	0	1				1	1	77	68	yhb	Gladiator Boots		13	45000	cred	cred						tinkerflag2		25	35	rip		1	1	dmg%		150	300	crush		33	33	move2		30	30	deadly		33	33	ease		100	100	regen		-200	-200	heal-kill		100	100	lifesteal		10	10										0
Spirits of the Dead	564	0	1				1	1	81	73	ybt	Spirit Boots		13	45000	blac	blac						tinkerflag2		25	35	passive-summ-limit		-3	-3	extra-summ-total		3	5	oskill	Summon Skeleton King	3	3	skill	Summon Skeleton King	17	27	oskill	Summon Grizzly	3	3	skill	Summon Grizzly	17	27	item-skill-cooldown		10	15	passive-summ-phys-resist		5	10	passive-summ-elemental-resist		10	15	move2		50	50						0
Imperial Sash	565	0	1				1	1	10	7	lbl	Sash		7	15000	cgrn	cgrn						tinkerflag2		25	35	hp/lvl	16			mana/lvl	16			res-all		10	30	ac		40	60	all-stats		5	20																										0
Raimen's Belt of Fear	566	0	1				1	1	16	12	vbl	Light Belt		7	15000	blac	blac						tinkerflag2		25	35	gethit-skill	Howl	5	20	dmg-demon		100	200	att-demon		200	400	regen		-50	-50	dmg-min		10	20	res-fire		20	40	res-pois		20	40	ac/lvl	16																0
Glowharness	567	0	1				1	1	27	20	mbl	Belt		8	20000	lyel	lyel						tinkerflag2		25	35	cast3		30	30	hp%		15	15	res-all		20	20	mana		10	30	hp		10	30	ltng-min		1	4	dmg-ltng/lvl	48			gethit-skill	SNova	10	15	ltng-max		100	150										0
Blustone's Belt	568	0	1				1	1	36	27	tbl	Heavy Belt		9	25000	lblu	lblu						tinkerflag2		25	35	kill-skill	Frost Nova	33	5	nofreeze		1	1	extra-cold		5	15	res-cold		40	50	ac%		100	150	item-skill-cooldown		5	10																						0
Harness of the Gods	569	0	1				1	1	39	29	hbl	Plated Belt		9	25000	dyel	dyel						tinkerflag2		25	35	ac		150	150	all-stats		10	20	all-stats-percent		5	10	red-dmg		10	15	red-mag		10	15	allskills		1	1																						0
Goldark's Strap	570	0	1				1	1	32	25	msb	Muscle Belt		9	25000	dgld	dgld						tinkerflag2		25	35	gold%		100	100	indestruct		1	1	str		10	50	sock		2	2	gold%/lvl	16			ac/lvl	24			ease		-100	-100																		0
Smiles of Fortune	571	0	1				1	1	33	29	zlb	Demonhide Sash		9	25000	lgld	lgld						tinkerflag2		25	35	deadly		5	50	crush		5	50	res-all		5	50	gold%		20	200	mag%		20	200	swing1		5	50	lifesteal		2	15	manasteal		2	15														0
Rumour of Pain	572	0	1				1	1	39	32	zvb	Sharkskin Belt		9	25000	dgrn	dgrn						tinkerflag2		25	35	allskills		1	1	ac%		100	150	balance2		10	30	pierce-fire		5	15	pierce-ltng		5	15	pierce-cold		5	15	pierce-pois		5	15	mana/lvl	8			heal-kill		10	20	mana-kill		5	10						0
Strap of Cythys	573	0	1				1	1	45	36	zmb	Mesh Belt		10	30000	cgrn	cgrn						tinkerflag2		25	35	dmg-pois	256	1000	1000	hit-skill	Poison Mastery	3	25	pierce-pois		10	15	regen		300	400	res-all		20	20	ac		50	125	res-pois		25	60																		0
Battlecharge	574	0	1				1	1	49	42	ztb	Battle Belt		10	30000	dgry	dgry						tinkerflag2		25	35	all-speeds		20	40	knock		1	1	ac		200	200	kill-skill	Blade Nova	15	45	att		200	300	gethit-skill	Bone Armor	10	25	gethit-skill	Cyclone Armor	10	25	deadly		25	25														0
Timeloop	575	0	1				1	1	55	47	zhb	War Belt		11	35000	dgld	dgld						tinkerflag2		25	35	gethit-skill	Time Lapse	5	1	hit-skill	Time Stop	3	40	nofreeze		1	1	balance2		50	50	ac%		100	200	item-skill-cooldown		10	15	str		1	50	dex		1	50	vit		1	50	enr		1	50						0
Circle of the Ancients	576	0	1				1	1	63	57	xms	Titan Brace		12	40000	cred	cred						tinkerflag2		25	35	indestruct		1	1	strpercent		5	15	dexpercent		5	15	vitpercent		5	15	enepercent		5	15	gethit-skill	Fend	5	40	dmg-norm		10	20	bar		1	1	res-all		20	40										0
Blazeband	577	0	1				1	1	75	59	alb	Hemp Band		13	45000	oran	oran						tinkerflag2		25	35	oskill	Blaze Synergy Enhancement	1	1	mythicaldescnoflag	1057	1	1	fireskill		1	2	pierce-fire		10	20	oskill	Blaze	10	20	gethit-skill	Blaze	17	60	hp%		10	30	regen		500	1000	heal-kill		50	100										0
Band of Constriction	578	0	1				1	1	80	69	avb	Rogue Belt		13	45000	blac	blac						tinkerflag2		25	35	ac		110	160	red-dmg%		10	15	res-all		100	100	regen		-150	-150	stamdrain		-100	-100	mag%		200	200	move2		-30	-30	passive-summ-phys-resist		10	20														0
Laertes' Treasure	579	0	1				1	1	79	64	bmb	Merchant Belt		13	45000	lgld	lgld						tinkerflag2		25	35	mag%/lvl	8			gold%/lvl	16			mag%		50	50	gold%		100	100	sock		2	2	ac		120	160	lightningskill		1	2	pierce-ltng		5	10														0
Spartacus' Defense	580	0	1				1	1	74	62	atb	Military Belt		13	45000	cred	cred						tinkerflag2		25	35	gethit-skill	Taunt	3	60	red-dmg%		10	20	lifesteal		20	40	block2		40	40	balance2		40	40	kill-skill	Warm Up	5	60	ac%		200	300																		0
Girdle of Giant Strength	581	0	1				1	1	76	71	ahb	Girdle		13	45000	cred	cred						tinkerflag2		25	35	str		75	150	red-dmg%		20	20	ease		200	300	strpercent		20	40	kill-skill	Headhunter Physical Damage	1	1	ac		500	500	ac%		100	200																		0
The Belt of Zeus	582	0	1				1	1	84	73	yms	Gladiator Wrap		13	45000	lpur	lpur						tinkerflag2		25	35	gethit-skill	Super Nova	1	60	kill-skill	Lightning Surge	8	60	pierce-ltng		10	20	strpercent		10	30	enepercent		10	30	oskill	Lightning Warp	5	10	item-skill-cooldown		5	10	ac%		200	250														0
Hinge of Sinnew	583	100	1				1	1	4	7	ba1	Jawbone Cap		6	10000	dgld	dgld						tinkerflag2		25	35	dmg%		25	50	ac%		50	100	hp/lvl	8			str/lvl	8			lifesteal		3	5	regen		-20	-20	red-dmg		5	10	red-mag		5	10														0
Crusheye	584	100	1				1	1	8	10	ba2	Fanged Helm		6	10000	blac	blac						tinkerflag2		25	35	ac		50	100	ease		100	100	red-dmg%		10	10	half-freeze		1	1	crush		20	40	att		80	150	att%		25	50	heal-kill		10	20	mana-kill		5	10										0
The Raging Bull	585	100	1				1	1	16	16	ba3	Horned Helm		7	15000	cred	cred						tinkerflag2		25	35	bar		1	1	hp		20	40	mana		20	40	stam		100	200	skill	Leap Attack	3	6	swing1		30	30	move1		30	30	deadly		30	40														0
Army of One	586	100	1				1	1	20	19	ba4	Assault Helmet		8	20000	dblu	dblu						tinkerflag2		25	35	res-all		20	20	ac%		50	150	swing2		10	30	hp/lvl	8			balance1		10	10	dmg/lvl	6																								0
The Augmentor	587	100	1				1	1	24	22	ba5	Avenger Guard		8	20000	lgld	lgld						tinkerflag2		25	35	allskills		1	1	all-stats		10	20	all-stats-percent		8	12	res-all		20	40	all-speeds		10	20																										0
Helm of the Dead King	588	100	1				1	1	35	30	ba6	Jawbone Visor		9	25000	whit	whit						tinkerflag2		25	35	dmg-undead		100	200	att-undead		100	200	dmg%		50	75	res-pois		45	75	swing1		20	20	hit-skill	Amplify Damage	4	26	pierce		25	50	dmg-demon		100	200	att-demon		100	200										0
Savannah's Pride	589	100	1				1	1	40	34	ba7	Lion Helm		10	30000	oran	oran						tinkerflag2		25	35	move2		60	60	swing2		60	60	deadly		50	50	crush		50	50	ac%		50	100	regen		400	500	heal-kill		20	30	skilltab	14	1	2														0
The Crimson Faceplate	590	100	1				1	1	46	33	ba8	Rage Mask		10	30000	cred	cred						tinkerflag2		25	35	swing3		20	40	bar		1	1	ac		25	75	lifesteal		4	7	dmg-fire		150	200	res-fire		30	50	pierce-fire		10	15	dmg-ltng		1	350	pierce-ltng		10	15	hit-skill	Fire Brand	3	1	hit-skill	Lightning Brand	3	1		0
Phase Visor	591	100	1				1	1	50	36	ba9	Savage Helmet		11	35000	oran	oran						tinkerflag2		25	35	indestruct		1	1	hit-skill	Nova	1	45	hit-skill	Frost Nova	1	45	hit-skill	Hells Gate	1	45	hit-skill	Poison Nova	1	45	res-all		30	30	sock		2	2	ac%		140	170	skilltab	14	2	4										0
Arreat's Face	592	100	1				1	1	50	42	baa	Slayer Guard		11	35000	blac	blac						tinkerflag2		25	35	skilltab	12	2	4	dmg-norm		20	30	red-dmg		20	40	red-mag		20	40	ac%		200	250	gethit-skill	Bash Proc	10	45	balance2		40	50	att		150	200														0
Coldfist's Icy Stare	593	100	1				1	1	55	45	bab	Carnage Helm		11	35000	dblu	dblu						tinkerflag2		25	35	pierce-cold		10	20	hit-skill	Cold Enhanced Axe	4	30	hit-skill	Cold Brand	4	30	oskill	Cold Enchant	10	20	oskill	Cold Mastery	1	1	ac%		100	200	nofreeze		1	1	freeze		5	5														0
Adrenaline Rush	594	100	1				1	1	69	55	bac	Fury Visor		12	40000	dpur	dpur						tinkerflag2		25	35	move3		20	60	swing3		40	60	balance3		40	60	att-skill	Frenzy Proc	5	45	ac		50	100	bar		1	1	res-all		20	30	cast2		40	60	block2		40	60	balance2		40	60	gethit-skill	Blaze	17	45		0
Wyrm's Wrap	595	100	1				1	1	76	61	bad	Destroyer Helm		13	45000	cgrn	cgrn						tinkerflag2		25	35	oskill	Lightning Warp	10	20	pierce-ltng		10	20	lightningskill		1	2	item-skill-cooldown		15	25	ac		300	500	kill-skill	Lightning Surge	17	60	res-fire		50	75	res-cold		50	75	res-ltng		50	75	all-stats		10	20						0
Larzuk's Innovation	596	100	1				1	1	83	66	bae	Conquerer Crown		13	45000	dgry	dgry						tinkerflag2		25	35	ac%		1	500	manasteal		5	25	dmg%		100	100	nofreeze		1	1	hit-skill	Death Sentry Physical	1	50	hit-skill	Corpse Explosion	1	50	bar		1	1	hit-skill	Amplify Damage	4	40	red-dmg%		30	30	trap-limit		5	5						0
The Ancients' Blessing	597	100	1				1	1	84	70	baf	Guardian Crown		13	45000	lgld	lgld						tinkerflag2		25	35	gethit-skill	Headhunter Speed	1	1	gethit-skill	Headhunter Physical Damage	1	1	gethit-skill	Headhunter Elemental Damage	1	1	gethit-skill	Headhunter Health	1	1	gethit-skill	Headhunter Resistances	1	1	gethit-skill	Headhunter Stats	1	1	gethit-skill	Headhunter Skills	1	1	skilltab	13	2	5	oskill-rand	10	856	861	oskill	Mana Shards	10	20	mana%		50	100		0
Fang's Valor	598	100	1				1	1	4	7	dr1	Wolf Head		6	10000	dred	dred						tinkerflag2		25	35	lifesteal		6	12	ac%		25	75	hp		20	30	skilltab	16	2	2	swing1		30	30	mana		20	30	mana-kill		3	5																		0
Shadow Crow	599	100	1				1	1	8	10	dr2	Hawk Helm		6	10000	blac	blac						tinkerflag2		25	35	light		-4	-4	skill	Raven	4	8	mana		20	50	hp		20	50	skill	Thunderclaws	2	4	res-all		10	15																						0
Alizee's Flaming Horns	600	100	1				1	1	16	16	dr3	Antlers		7	15000	cred	cred						tinkerflag2		25	35	hit-skill	Incinerate Proc	5	1	dmg-fire		25	50	swing2		30	30	regen		50	100	res-fire		40	50	move2		10	10	ac%		50	100																		0
Razor Beak	601	100	1				1	1	20	19	dr4	Falcon Mask		8	20000	lred	lred						tinkerflag2		25	35	str		10	20	mana-kill		2	4	manasteal		3	6	res-all		15	15	att%/lvl	8			dex		10	20	deadly		30	30	swing1		20	20	ac		50	75										0
Starwolf's Facade	602	100	1				1	1	22	24	dr5	Spirit Mask		8	20000	dyel	dyel						tinkerflag2		25	35	hit-skill	Magic Arrow	5	1	skill	Feral Rage	5	10	skill	Wearwolf	5	10	hit-skill	Evade	3	20	dex/lvl	8			ac%		100	120	res-mag		10	15	life-on-striking		1	2	mana-on-striking		1	1										0
Con Dar Warpaint	603	100	1				1	1	35	30	dr6	Alpha Helm		9	25000	oran	oran						tinkerflag2		25	35	att-skill	Frenzy Proc	15	30	hp		50	100	oskill	Dodge	1	1	ac%		150	150	lifesteal		15	30	regen		-100	-100	dmg-norm		15	30																		0
Ravenlord	604	100	1				1	1	40	34	dr7	Griffon Headress		10	30000	blac			invdr2				tinkerflag2		25	35	skill	Raven	10	15	skill	Thunderclaws	10	15	vit		20	20	enr		20	20	move1		30	30	res-all		25	30	dru		1	1	passive-summ-elemental-resist		10	20	pierce-ltng		10	15										0
Horns of Allesthir	605	100	1				1	1	46	33	dr8	Hunter's Guise		10	30000	oran	oran						tinkerflag2		25	35	ac		100	100	res-all		30	45	ease		100	100	strpercent		10	25	str/lvl	16			crush/lvl	4			balance2		20	20	deadly/lvl	4																0
Phoenix Tail	606	100	1				1	1	50	40	dr9	Sacred Feathers		11	35000	lgld	lgld						tinkerflag2		25	35	fireskill		1	3	pierce-fire		10	15	gethit-skill	Blaze	10	60	hp/lvl	16			regen		500	500	kill-skill	Firestorm	10	30	ac%		100	150																		0
Jalal's Mane	607	100	1				1	1	50	42	dra	Totemic Mask		11	35000	oran	oran						tinkerflag2		25	35	dmg-norm		20	30	str		30	50	dex		30	50	att%		100	150	att		100	200	ac%		100	200	lifesteal		10	20	manasteal		5	10	dru		1	2										0
Necromancer's Essense	608	100	1				1	1	55	46	drb	Blood Spirt		11	35000	blac	dgry		invencromanceressence				tinkerflag2		25	35	ac%		80	150	red-dmg%		10	15	oskill	Raise Skeleton	10	10	oskill	Skeleton Mastery	10	10	gethit-skill	Bone Armor	5	40	hit-skill	Amplify Damage	3	50	allskills		1	1	oskill	Summon Skeleton King	1	1	swing2		30	30	extra-summ		10	20						0
Mojabi's Face	609	100	1				1	1	69	55	drc	Sun Spirit		12	40000	dgrn			invdr2				tinkerflag2		25	35	oskill	Frozen Blast Lightning Enhancement	1	1	mythicaldescnoflag	1058	1	1	pierce-ltng		10	20	skilltab	17	1	3	ac%		1	400	hp		1	200	mana		1	200	enr		1	50	enepercent		1	20	abs-ltng%		3	5	res-cold-max		3	5		0
Tetonic Horns	610	100	1				1	1	76	61	drd	Earth Spirit		13	45000	dyel	dyel						tinkerflag2		25	35	oskill	Cataclysm Enhancement	1	1	mythicaldescnoflag	1059	1	1	extra-wind		10	30	kill-skill	Amplify Damage	15	50	oskill	Amplify Damage	10	20	kill-skill	Wind Surge	17	60	red-dmg%		10	20	hp		50	100	crush		100	100	ac%		200	400						0
Aire Libre	611	100	1				1	1	83	66	dre	Sky Spirit		13	45000	cgrn	cgrn						tinkerflag2		25	35	oskill	Monsoon Enhancement	1	1	mythicaldescnoflag	1060	1	1	pierce-cold		10	20	kill-skill	Cold Surge	100	25	nofreeze		1	1	enepercent		10	30	move2		30	30	ac%		150	200	vit		25	50	item-skill-cooldown		10	15						0
Beast of the Night	612	100	1				1	1	84	70	drf	Dream Spirit		13	45000	blac			invdr5				tinkerflag2		25	35	hit-skill	Firestorm	1	50	hit-skill	Whirlpool Proc	5	50	hit-skill	Sandstorm	1	50	move2		50	50	ac%		120	170	red-dmg		35	50	res-mag		10	20	dru		1	2														0
Wirt's Skull	613	100	1				1	1	4	7	ne1	Preserved Head		6	10000	oran	oran						tinkerflag2		25	35	ac		25	50	mag%		50	100	gold%		100	200	hp		25	50	skill	Poison Dagger Proc	1	3	pierce-pois		5	10	dmg-pois	75	341	682																		0
