skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
SCharged Strike Proc	451		scharged strike		8													chargedclaws	chargedclaws	chargedclaws							min(12,5+lvl/5)+skill('Fire Claws'.blvl)/par7*6																																																																																		17						chargedclaws	chargedclaws	chargedclaws										1	5		h2h		mele										A1	A1	xx				1		1	1								1		1			1			4							30	20					Hunger			2	wolf	bear				1	1					1	6	8	2	1											clc5+clc6	# bolts					clc5+3+lvl/5	max # of missiles for display	1+((skill('SCharged Strike'.blvl)+skill('Freezing Claws'.blvl))>39)*2	min # of missiles	clc5+(3+lvl/5)*stat('randomgenerator'.accr)/1000	max # of missiles													20	seek range per N levels	15	ar synergy									1	15		lvl*15+skill('Hunger'.blvl)*par8					8	45														ltng																							0
Frenzy Proc	452		frenzy		18										frenzy									frenzy		par7+skill('Increased Speed'.blvl)*25	15+lvl/3	velocitypercent	dm34	attackrate	dm56	item_deadlystrike	dm56	damagepercent	dm56*8	skillcontrol2	2+lvl/3+skill('Axe Swarm'.blvl)/5																																																																													frenzy													1	3		h2h		1hsw										A1	A1	xx				1		1	1								1		1			1			1							12	20					Axe Swarm									1	1					1	8	2	0												stat('skillcontrol2'.accr)	# missiles											100	Damage % base	20	Damage % per level / duration synergy	20	min % run speed increase	150	max % run speed increase	0	min % attack speed increase	60	max % attack speed increase	250	duration	15	damage and ar synergy									1	15		lvl*15+skill('Whirlwind'.blvl)*par8					8	96																																					0
Killer Scythe Proc	453		killer scythe		18										killerscythe									skilldamagestate		75+lvl*10		damagepercent	(stat('item_max_skeleton_king'.accr)>0)?(15*lvl+ln12):ln12	lifeonstriking	ln34	manaonstriking	ln34/5	passive_summ_mastery	(stat('item_max_skeleton_king'.accr)>0)?(5*lvl):0	item_pierce_pois	((skill('Killer Scythe'.blvl)+skill('Bone Armor'.blvl))>39)*(par5+lvl/par6)																																																								1	druid_windcast																				killerscythe													1	0		h2h		pole	knif									A1	A1	A1				1		1	1								1		1			1			1							6	20					Poison Dagger									1	1					1	7	4	1	1																	(stat('randomgenerator'.accr)>skill('Soul Reaper Mastery'.clc6))?1:4						100	dmg	30	dmg/lvl	2	life on striking	1	life on striking per level	10	poison pierce	3	poison pierce per N levels			15	ar synergy									1	15		lvl*15+skill('Poison Dagger'.blvl)*par8					8	64														mag																							0
Spectral Maim	454		spectral maim		28													increasingdebuffmonuber					3		teal	25		skillcontrol3	min(1000,(stat('skillcontrol3'.accr)+1))	normal_damage_reduction	-stat('skillcontrol3'.accr)*5	magicresist	-stat('skillcontrol3'.accr)/5																																																																												28						increasingdebuffmonuber												1	9		none												SC	SC	A1																	1			1			4							6	20								1						1	1					1	8	15	0		1																																														1								8																																						0
DamageAugment	455		damage bonus 1																																																																																																																												1	0		none												SC	SC	xx				1													1			1										-5																					0	8	0	0	1	1							1																																							1								8																																						0
DamageAugment2	456		damage bonus 2																																											damagebonus			passive_wind_mastery	stat('energy'.accr)/50	passive_fire_mastery	stat('energy'.accr)/50	passive_cold_mastery	stat('energy'.accr)/50	passive_ltng_mastery	stat('energy'.accr)/50	passive_pois_mastery	stat('energy'.accr)/50	passive_mag2_mastery	stat('energy'.accr)/50	maxmana	(stat('energy'.accr)-stat('energy'.base))*stat('item_maxmana_percent'.accr)/(100+stat('item_maxmana_percent'.accr))*256	maxhp	(stat('vitality'.accr)-stat('vitality'.base))*stat('item_maxhp_percent'.accr)/(100+stat('item_maxhp_percent'.accr))*256																																																															1	0		none												SC	SC	xx				1													1			1										-5																					0	8	0	0	1	1							1																																							1								8																																						0
2HWeapMast	457		2h melee passive																																											2hmeleepassive			passive_dodge	clc3	passive_avoid	clc3	passive_evade	clc3	skill_armor_percent	par1+par2*max(clc1,clc2)	item_fastergethitrate	stat('item_fasterblockrate'.accr)+stat('toblock'.accr)																																																																					1	0		none												SC	SC	xx				1													1			1										-5																					0	8	0	0	1	1							1																																							1								8																																						0
DamageAugment3	458		damage bonus 3																																											damagebonus			passive_summ_mastery	stat('energy'.accr)/15																																																																													1	0		none												SC	SC	xx				1													1			1										-5																					0	8	0	0	1	1							1																																							1								8																																						0
DamageAugment4	459		damage bonus 4																																											damagebonus																																																																																	1	0		none												SC	SC	xx				1													1			1										-5																					0	8	0	0	1	1							1																																							1								8																																						0
SuccubusMissile	460				148													dsuccubusmiss																																																																																												94					dsuccubusmiss												1	0		none												SC	SC	S1																	1										1																												1																																															1								8																																						0
GHoly Fire	461				66																		42883	holyfire			ln12																						firemindam	edmn	firemaxdam	edmx																																																																											1	0		none														xx																	1													1																					0	8	0	0	1	1	1		25																			6	radius	1	additional radius per level					6	damage to attack multiplier															1				16385				7															fire	8	4	8	12	16	16	16	4	8	12	16	16	skill('SHydra'.blvl)*skill('BloodGolem'.par3)										0
DeathSpell	462				8													deathspell																																																																												beholder_cast_3														19	17					deathspell	deathspell	bonecast											1	1		none												SC	SC	SC																	1			1										1													25	25																						"min(ln12,24)/2"	# missiles	par3	activation frame							25		5	number of missiles	1	additional missiles/level	0	Acivation frame of teeth																			1								7															mag	30	30	45	60	75	75	30	30	45	60	75	75											0
Paralyze	463				30																		3		paralyze	ln34	ln12	velocitypercent	-100	damageresist	-par5	attackrate	-100	manarecoverybonus	-5000																																																											beholder_cast_2														18	30					paralyze		cursecast											1	9		none												SC	SC	SC					4												1			1																																																										2	radius	0	radius per level	60	duration	3	additional duration/level	50	% -dam resist															1								8																																						0
BeholderMissile	464				148													undeadmissile1																																																																																												94					undeadmissile1												1	0		none												SC	SC	A1																	1										1																								1																																																			1								8																																						0
Map	465																																																																																																																																																																1																																																																																																																																			0
ShowItems	466																																																																																																																																																																1																																																																																																																																			0
RunToggle	467																																																																																																																																																																1																																																																																																																																			0
proc_SplashDamage	468			4	8													proc_splashdamage																																																																																										11	17						proc_splashdamage												1	7		rng		miss	miss									A1	A1	xx				1													1			1										6															1						1	8	4	1	1											min(24,ln12)	# missiles	par3	activation frame	2	triggered							11	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.																			1								8	128																																			384		0
MonLeap	469			40	77													leapknockback									dm12																																																																		1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4												1													6	20														0	0									1											ln34	Knockback Radius	par7	Leap Speed %									4	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level					100	Leap Speed %											1								8																																				384		0
MonLeapAttack	470			41	78																	bash																																																																							1		barbarian_leapattack_1													30	44																		1	6		none		mele										SQ	A1	xx	14		1		4	1											1													18	20														0	0									1											ln34	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									100	Damage % baseline	30	Damage % per level					100	Leap Speed %	10	Damage synergy									1	50	15						8	128																																			640		0
MonHolyFire	471				66																		42883	holyfire			ln12																						firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																																											1	0		none														xx																	1													6	20														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	6	Damage synergy	18	Damage synergy									1				16385				7															fire	2	1	2	3	5	7	6	1	2	3	5	7									384		0
MonHolyShock	472				66																		42883	holyshock			ln12																						lightmindam	1	lightmaxdam	exms*par5/256																																																																											1	4		none														xx																	1													24	20														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	4	Damage synergy	12	Damage synergy									1				16385				8															ltng	1						10	6	8	10	12	15									768		0
Mark of the Wolf	473		mark of the wolf		18																			markwolf		4500		item_tohit_percent	par1	item_maxhp_percent	par2																																																																																																	0		none																		1													1			1				1						1									2	wolf					0	0																																30	Attack Rating %	40	Life %																					1								8																																				256		0
Mark of the Bear	474		mark of the bear		18																			markbear		4500		attackrate	par1	damageresist	par2																																																																																																	0		none																		1													1			1				1						1									2	bear					0	0																																25	Attack Speed %	20	Damage Resist %																					1								8																																				256		0
CubeLoot	475		cubeloot																																																																																																																													0		none														xx																														1															0	0																																																								1																																													0	0
Meteor	476		meteor		28													meteorcenter	meteorcenter	meteorcenter							ln12																																																																			sorceress_cast_fire				sorceress_meteor							fire_cast_2				28						meteorcenter												1	6		none												SC	SC	xx					4				1								1			1							sorceress_cast_fire	fire_cast_2		18	25					Fire Ball							25	25	0	1					1	8	17	1	1											ln12	radius											6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level							6	damage synergy									1								8		13	13	26	39	52	52	26	13	26	39	52	52	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl))*par8	fire	13	13	26	39	52	52	26	13	26	39	52	52	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl)+skill('Nova'.blvl))*par8										0
Frozen Orb Monster	477		frozen orb												frozenorbmon																																																																															sorceress_cast_cold											ice_cast_3				29						frozenorbmon												1	8		none												SC	SC	SC																	1			1							sorceress_cast_cold			30	20					Blizzard							20	20	1	1					1	8	21	1	1																																			5	freeze synergy	3	damage synergy									1								8															cold	2						4						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	50				ulvl*10					0
Guided Arrow	478		guided arrow	4	10											1		guidedarrow	guidedarrow	guidedarrow																																																																																								11	18						guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1													1													18	25					Multiple Shot									1	1					1	7	16	-1	1											ln34+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Legendary Arrow'.blvl)+skill('Strafe'.blvl))*par8	dmg%															100	Damage percent	25	damage % per level							15	damage synergy									1								8	128																																					0
Thunder Storm	479		thunder storm	13	29													thunderstorm1						thunderstorm		ln12																																																																				sorceress_thunder_cast											fire_cast_2						84				thunderstorm1												1	5		none												SC	SC	SC																	1			1										30	20					Chain Lightning									0	1					1	8	19	1	1	1		1	(100-dm56) * par4/100 + par3																			800	duration	200	additional duration/level	12	minimum repeat time	60	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius	6	damage synergy									1								8		9	9	12	15	18	18	18	9	12	15	18	18	(skill('Enchant'.blvl)+skill('Fanatic Swing'.blvl))*par8	fire	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Enchant'.blvl)+skill('Fanatic Swing'.blvl))*par8										0
Strafe Monster	480		strafe	8	12		 											strafearrowmon	strafearrowmon								par5																																																																				amazon_dodge_1				paladin_charge									13	20						strafearrowmon	strafearrowmon											1	0		rng		miss										A1	A1	A1				1													1													30	20					Legendary Arrow									1	1					1	8	11	0												4	#missiles	ln12+(skill('Magic Arrow'.blvl)+skill('Multiple Shot'.blvl)+skill('Tornado Shot'.blvl)+skill('Legendary Arrow'.blvl))*par8	damage %	4	min # missiles							8	Damage increase	8	Damage increase per level	4	Base Shots to take (+1 per level)	5	Max shots to take	35	Radius	50	% frame rollback			6	damage synergy									1	10	10						8	96																																					0
Sacrifice	481		sacrifice	39	2																			sacrifice		par3		hpregen	-(stat('hitpoints'.accr)*46/10000)	normal_damage_reduction	30000																																																															paladin_sacrifice		1													34						blood1				3	Random Bonus Range for Blood missile							1	4		h2h		mele										A1	A1	xx	2		1	1		1	1								1		1													1	30														1	1					1	8	1	0												ln12+skill('Redemption'.blvl)*par8+(skill('Zeal'.blvl)+skill('Vengeance'.blvl)+skill('Crucify'.blvl))*par7	damage %	par3	duration									100	Percent damage	40	percent damage per level	20	immune length	8	life loss % for display					10	damage synergy	15	damage synergy									1	100	25						8	160																																					0
inferno meteor	482				28													meteorsentrycenter	meteorsentrycenter	meteorsentrycenter			3		red	25+lvl	ln12	fireresist	-lvl/2	lightresist	-lvl/2																																																															sorceress_cast_fire											fire_cast_2				28						meteorsentrycenter	meteorsentrycenter	meteorsentrycenter										1	6		none												SC	SC	xx					4				1								1			1							sorceress_cast_fire	fire_cast_2																	0	0																				ln12	Explosion Radius					par8						6	Explosion Radius baseline	0	Explosion Radius per level	75	Duration of ground fire baseline									10	# of shots (must match Inferno Sentry Param1)									1								8																																				768		0
VolcanoMon	483				123													volcanomon									par1																																																																			druid_firecast_a											druid_fire_cast_2						91				volcano overlay fire	volcanomon											1	0		none												SC	SC	xx				1	4				1								1			1							sorceress_cast_fire	druid_fire_cast_2		1	30								1						0	1					1	8	11	1	1																	par2						12	debris range	4	delay between debris									7	damage synergy	7	fire damage synergy									1								8															fire	2	4	6	8	10	12	4	6	8	10	12	14	(skill('Molten Boulder'.blvl)+skill('Firestorm'.blvl)+skill('Fire Claws'.blvl)+skill('Cycle of Life'.blvl))*par8										0
Hells Gate Mon	484		hells gate		22													hellsgatemon	hellsgatemon	hellsgatemon																																																																										druid_summon											ice_cage_melt				25						hellsgatemon	hellsgatemon	hellsgatemon		0	Missile Velocity Adder							1	2		none												SC	SC	SC																	1			36	10						druid_summon			30	20					Bone Spirit									0	1					1	8	20	1	1																							12	number of missiles	4	additional missiles per level											5	damage synergy									1								8															mag	20	12	20	24	32	32	44	12	20	24	32	32											0
Teeth Mon	485				8													teethmon	teethmon	teethmon																										pierce			skill_pierce	100																																												necromancer_bone_cast															17						teethmon	teethmon	teethmon										1	1		none												SC	SC	xx																	1			1							necromancer_bone_cast			30	20					Bone Prison									1	1					1	7	30	1	1											"min(ln12/2,20)"	# missiles	par3	activation frame									5	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									5	damage synergy									1								8															cold	5						10						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50	50				ulvl*10					0
Inferno	486		inferno	11	19													infernoflame1	infernoflame1	infernoflame1							ln12/4-2																																																																																	15	24						infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10															1													12	25					Lightning									1	1	1				6	0	2	36	1											ln12/2	range	20	frames if monster									20	base ranged (doubled)	3	level range (doubled)	5	Min Mana to start casting									6	damage synergy									1								2		35	35	70	105	140	140	70	35	70	105	140	140	(100+(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr)+stat('passive_ltng_mastery'.accr))/100-100	ltng	35	35	70	105	140	140	70	35	70	105	140	140	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Chain Lightning'.blvl)+skill('Hydra'.blvl))*par8										0
Molten Boulder	487		molten boulder												moltenboulderemerge												par1																																																																			druid_firecast_b											druid_fire_cast_1									moltenboulderemerge													1	0		none												SC	SC	xx				1													1			1							druid_firecast_b	druid_fire_cast_1		12	25					Volcano									1	1					1	8	10	1	1																							10	Explosion Radius													6	fire/phys damage synergy									1								8		6	6	12	18	24	24	12	6	12	18	24	24	(100+(skill('Firestorm'.blvl)+skill('Volcano'.blvl)+skill('Fire Claws'.blvl)+skill('Cycle of Life'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100	fire	6	6	12	18	24	24	12	6	12	18	24	24	(skill('Firestorm'.blvl)+skill('Volcano'.blvl)+skill('Fire Claws'.blvl)+skill('Cycle of Life'.blvl))*par8								384		0
Eruption	488		eruption		28													erruption center										item_slow	dm56											domissiledamage																																																						druid_firecast_a											druid_fire_cast_2				28						erruption center												1	0		none												SC	SC	xx				1	4				1								1			1							druid_firecast_a	druid_fire_cast_2		18	25					SBone Spear							20		0	1					1	8	10	1	1											par1	radius	par2 - (blvl / 10)	frequency									7	radius	6	Missile delay	0	Change duration in Missiles.xls			0	slow effect min	30	slow effect max			6	damage synergy									1								8															mag	10	10	20	30	40	40	20	10	20	30	40	40	(100+(skill('SBone Spear'.blvl)+skill('Armageddon'.blvl)+skill('Twister'.blvl)+skill('Arctic Blast'.blvl)+skill('Tornado'.blvl)+skill('Sandstorm'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100										0
Tornado	489		tornado		118													tornado					42371				par2																																																																			druid_windcast															69						tornado												1	0		none												SC	SC	xx				1	4												1			1										18	25					Hurricane									1	1					1	8	8	1	1											1+blvl/6	# missiles					par1						15	Frame delay between damage	3	Radius of damage											6	damage synergy									1								8		16	8	16	24	32	32	32	8	16	24	32	32	(100+(skill('Cyclone Armor'.blvl)+skill('Arctic Blast'.blvl)+skill('Hurricane'.blvl)+skill('Sandstorm'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100																								0
Armageddon	490		acidrain		124													armageddoncontrol	armageddoncontrol	armageddoncontrol				armageddon		ln12	par3																																																																			druid_firecast_a																	92				armageddontail	armageddonrock			25	frames	40	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1													24	20					Eruption			1				75		0	1					1	8	36	2	1																							275	base duration	65	duration per level	8	radius to drop meteors	3	frame delay between rocks							5	damage synergy									1								8															mag	12	12	16	20	24	24	24	12	16	20	24	24	(100+(skill('SBone Spear'.blvl)+skill('Eruption'.blvl)+skill('Twister'.blvl)+skill('Arctic Blast'.blvl)+skill('Tornado'.blvl)+skill('Sandstorm'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100										0
SBone Spear	491				8													sbonespear	sbonespear																																																																											necromancer_bone_cast														19	17					sbonespear	sbonespear	sbonespear	bonecast										1	6		none												SC	SC	xx																	1			1							necromancer_bone_cast			6	30														1	1					1	6	28	1	1												# missiles																									7	damage synergy									1								8															mag	6	6	12	24	48	48	12	6	12	24	48	48	(100+(skill('Eruption'.blvl)+skill('Armageddon'.blvl)+skill('Twister'.blvl)+skill('Arctic Blast'.blvl)+skill('Tornado'.blvl)+skill('Sandstorm'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100										0
SandstormMon	492		sandstorm		22													sandstorm	sandstorm	sandstorm																																																																										druid_windcast											siege_beast_dust				25						sandstorm				0	Missile Velocity Adder							1	2		none												SC	SC	xx																	1			36	10						druid_windcast			12	25					Twister									0	1					1	8	15	1	1																																					6	damage synergy									1								8		18	9	12	18	24	24	36	9	12	18	24	24	(100+(skill('Cyclone Armor'.blvl)+skill('Elemental Form'.blvl)+skill('Twister'.blvl)+skill('Cataclysm'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100																								0
FirestormMon	493		firestorm		117													firestormmaker																																																																												druid_firecast_b											druid_fire_cast_1				67						firestormmaker												1	0		none												SC	SC	xx				1													1			1							druid_firecast_b	druid_fire_cast_1		24	20					Molten Boulder			1				15	15	1	1					1	7	26	1	1											ln12+skill('Molten Boulder'.blvl)/5	# missiles											5	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy									1								4															fire	1						2						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
SThunder Storm	494		sthunder storm	13	29													sthunderstorm1						sthunderstorm		ln12																																																																				sorceress_thunder_cast									lightning		light_cast_2						84				sthunderstorm1												1	5		none												SC	SC	xx																	1													30	20					Pole Arm Mastery									0	1					1	8	19	0	1			1	(100-dm56) * par4/100 + par3																			800	duration	200	additional duration/level	12	minimum repeat time	60	repeat time factor	0	min % repeat time	100	max % repeat time	17	radius	5	damage synergy									1								8															ltng	18	18	24	30	36	36	36	18	24	30	36	36	(skill('Axe Mastery'.blvl)+skill('Mace Mastery'.blvl)+skill('SNova'.blvl)+skill('Pole Arm Mastery'.blvl))*par8										0
Zeal Mon	495		zeal	37	13																																																																																								1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	xx						1	1								1		1													1	30														1	1					1	8	4	0												5	max targets	ln34+(skill('Judgement'.blvl)+skill('Vengeance'.blvl)+skill('Crucify'.blvl))*par8	damage %											90	% frame rollback	0	% damage percent	14	damage % per level	2	Targets	4	Max targets			8	damage synergy									1	10	10						8	128																																					0
Phantom Hatchets Mon	496		phantom hatchets	4	8											1		phanhatchets	phanhatchets																																																																																									11	17						phanhatchets	phanhatchets											1	7		rng		thro										TH	TH	xx				1													1			1										12	25					Stampede									1	1					1	7	6	1	1											min(25,ln12)	# missiles	par3	activation frame	3+(blvl/2)	triggered							3	number of arrows to fire	1	additional arrows per level	0	Acivation frame of arrows.	5	Damage % per level	10		5				10	damage synergy									1	10	10						8	128																																					0
Spear Mastery	497		spear mastery		15																																									spearmastery	spea																														walkingdecoy	walkingdecoy	1+blvl/5	NU	Iron Skin	clc3+stat('item_summskills'.accr)	Natural Resistance	clc4+stat('item_summskills'.accr)	item_armor_percent	par3*(lvl-1)	item_attackertakesdamage	blvl*par4				ghostdecoy		druid_summon																																	1	6		none												SC	SC	xx				1	4												1			1										24	20								1				75		0	1					1	8	15	1	1	1										lvl*par1+par8*(skill('Natural Resistance'.blvl)+skill('Iron Skin').blvl)	base life	125+125*blvl	duration	50	bonus hp%							10	% hitpoints more per level			5	% AC increase per level	150	ATD per base level	25	Magic Item level	2	Magic Item level per level			5	passive synergy									1								8																																						0
SFrost Nova	498				22													sfrostnova	sfrostnova	sfrostnova																																																																										sorceress_cast_cold											ice_cast_2				25						sfrostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																	1			36	10						sorceress_cast_cold			1	30														1	1					1	6	24	1	1											0	Missile Velocity Adder											9	radius of freeze	3	additional radius/level											7	damage synergy									1								7															cold	10	10	20	30	40	40	20	10	20	30	40	40	(skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Lightning Bolt'.blvl)+skill('SFire Wall'.blvl)+skill('Dopplezon'.blvl))*par8	200	25	25	25				384		0
SFire Wall	499				24													sfirewallmaker	sfirewall																																																																											sorceress_cast_fire											fire_cast_2				26						sfirewallmaker												1	4		none												SC	SC	SC					4				1								1			1							sorceress_cast_fire			18	25					SFrost Nova							15		1	1					1	7	44	1	1																																					6	damage synergy									1								4															fire	10	5	10	15	20	20	20	5	10	15	20	20	(skill('Exploding Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Power Strike'.blvl)+skill('Poison Javelin'.blvl)+skill('SFrost Nova'.blvl)+skill('Dopplezon'.blvl))*par8										0
Jab	500			5	7																																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h		spea	knif									SQ	A1	xx	1		1	1		1	1								1		1													1	30														1	1					1	8	3	0												ln34+(skill('Impale'.blvl)+skill('Fend'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)+skill('Rain of Javelins'.blvl))*par8	dmg%															0	Percent damage base	30	Percent damage per level							18	damage synergy									1	10	10						8	128																																					0
Impale Old	501			6	11													viperbitebolt	viperbitebolt	viperbitebolt																																																																													1												19						viperbitebolt	viperbitebolt	viperbitebolt										1	5		h2h		mele										A1	A1	A1			1	1		1	1								1		1													12	25					Power Strike									1	1		1			1	6	16	1	1											par1+lvl/par2	# bolts											3	Bolts to send out	5	Additional bolts per N levels											6	damage synergy									1								3		256	256	512	768	1024	1024	512	256	512	768	1024	1024	(100+(skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Plague Javelin'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100	pois	20	20	40	60	80	80	40	20	40	60	80	80	(skill('Jab'.blvl)+skill('Power Strike'.blvl)+skill('Fend'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Plague Javelin'.blvl))*par8	50									0
Power Strike	502			6	2																																																																																																																										1	4		h2h		spea										A1	A1	xx				1		1	1								1		1													6	20					Jab									1	1					1	6	8	1	1																	0	% Damage Dealt as Elemental (Used only if there is an Etype)																			14	Damage synergy									1	20	12						8	128														ltng	1	0	0	0	0	0	16	18	36	54	72	90	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)) * par8								384		0
Charged Strike	503			6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																																									19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		mele										A1	A1	xx				1		1	1								1		1													30	20					Inferno Fury									1	1					1	6	16	1	1											par1+lvl/par2	# bolts											3	Bolts to send out	5	Additional bolts per N levels											5	damage synergy									1								8															mag	5						10						(ulvl/(1+5/ulvl))*(1+ulvl/50)*50										0
